txn_id,posted_date,value_date,merchant_name,mcc,category,subcategory,amount,currency,balance_after,channel,location_city,location_country,card_last4,user_id,recurring_id,notes
690e4697-a56d-4529-8604-fb6250486f2d,2025-09-01,2025-09-02,Waitrose,5411,Groceries,Supermarket,-42.72,GBP,2457.28,POS,London,GB,9074,user_001,,
690e4697-a56d-4529-8604-fb6250486f2d,2025-09-01,2025-09-02,Waitrose,5411,Groceries,Supermarket,-42.72,GBP,2414.56,POS,London,GB,9074,user_001,,
7cd26a7d-a608-44dc-bced-5d0584ff64d7,2025-09-01,2025-09-03,Crown Estates Lettings,6513,Housing,Rent,-1497.1,GBP,917.46,POS,London,GB,2219,user_001,rec_19f70fbcce,
7cd26a7d-a608-44dc-bced-5d0584ff64d7,2025-09-01,2025-09-03,Crown Estates Lettings,6513,Housing,Rent,-1497.1,GBP,-579.64,POS,London,GB,2219,user_001,rec_19f70fbcce,
0216d8b7-752a-4820-9023-79220ade51f1,2025-09-02,2025-09-04,Local Market,5499,Groceries,Specialty,-13.69,GBP,-593.33,POS,London,GB,9074,user_001,,
d3ab5813-02c8-48db-a94a-01adbb0fe881,2025-09-02,2025-09-04,Apple.com/bill,5734,Shopping,Electronics,-15.87,GBP,-609.2,E-Com,Cupertino,US,4488,user_002,,
d3ab5813-02c8-48db-a94a-01adbb0fe881,2025-09-02,2025-09-04,Apple.com/bill,5734,Shopping,Electronics,-15.87,GBP,-625.07,E-Com,Cupertino,US,4488,user_002,,
42df4e9c-3940-429c-9119-09323d29af2f,2025-09-03,2025-09-04,Apple.com/bill,5734,Shopping,Electronics,-184.27,GBP,-809.34,E-Com,Cupertino,US,9074,user_001,,
9989341e-1e28-4f9f-8801-36de3ace25df,2025-09-03,2025-09-04,Deliveroo,5812,Food & Drink,Delivery,-27.76,GBP,-837.1,E-Com,London,GB,2219,user_001,,
cf12df93-b132-4531-b2d4-67efbb62fdd9,2025-09-04,2025-09-08,Shell,5541,Transport,Fuel,-77.49,GBP,-914.59,POS,London,GB,1045,user_001,,
12e8b9fa-95fd-425e-86e5-845b9e901fa4,2025-09-05,2025-09-08,Apple.com/bill,5734,Shopping,Electronics,-120.68,USD,-1035.27,E-Com,Cupertino,US,4488,user_001,,FX purchase 151.02 USD @ rate 1.25
96e12a45-e108-4d91-9018-8916577027a7,2025-09-05,2025-09-05,Sainsbury's,5411,Groceries,Supermarket,-43.13,GBP,-1078.4,POS,London,GB,1045,user_002,,
dbcc9154-b959-4f4e-b7ee-cb61726ac365,2025-09-05,2025-09-08,Amazon UK,5942,Shopping,Online Retail,-112.64,GBP,-1191.04,E-Com,London,GB,2219,user_001,,
dbcc9154-b959-4f4e-b7ee-cb61726ac365,2025-09-05,2025-09-08,Amazon UK,5942,Shopping,Online Retail,-112.64,GBP,-1303.68,E-Com,London,GB,2219,user_001,,
f7449688-4867-431f-aeee-e61aed0ec1c8,2025-09-05,2025-09-08,Sainsbury's,5411,Groceries,Supermarket,-38.43,GBP,-1342.11,POS,London,GB,9074,user_001,,
a878a888-722d-4e82-9ca3-0fd469fb5b10,2025-09-06,2025-09-08,Shell,5541,Transport,Fuel,-41.26,GBP,-1383.37,POS,London,GB,4488,user_001,,
a878a888-722d-4e82-9ca3-0fd469fb5b10,2025-09-06,2025-09-08,Shell,5541,Transport,Fuel,-41.26,GBP,-1424.63,POS,London,GB,4488,user_001,,
4ec4422f-3d76-41d7-b961-2288e80c069d,2025-09-07,2025-09-08,Local Market,5499,Groceries,Specialty,-7.81,GBP,-1432.44,POS,London,GB,4488,user_002,,
80d9f4a5-781f-4824-a9dd-87090436da6d,2025-09-07,2025-09-08,Pret A Manger,5814,Food & Drink,Eating Out,-9.25,GBP,-1441.69,POS,London,GB,4488,user_001,,
